ville,canton,prix,metres_carres,type,nbr_pieces
Selzach,SO,990,72,Appartement ,3.5
Vernier,GE,2600,30,Appartement meublé,
Paradiso,TI,3940,30,Appartement meublé ,1.0
Zürich,ZH,3185,30,Appartement meublé ,1.0
Vernier,GE,2650,48,Appartement ,3.0
Romanel-sur-Lausanne,VD,1960,82,Appartement ,3.5
Neuchâtel,NE,2490,150,Villa ,6.0
Lausanne,VD,2054,69,Appartement ,3.5
Saint-Sulpice,VD,1800,44,Appartement ,2.0
Lausanne,VD,1903,74,Appartement ,3.5
Saint-Sulpice,VD,377,74,Appartement ,4.0
La Chaux-de-Fonds,NE,1600,163,Appartement ,7.0
Develier,JU,690,49,Appartement ,1.0
Saint-Blaise,NE,1316,71,Appartement ,4.0
Saint-Sulpice,VD,362,63,Appartement ,3.0
Vully-les-Lacs,VD,1485,94,Appartement ,3.5
Neuchâtel,NE,1300,76,Appartement ,3.5
La Chaux-de-Fonds,NE,1760,115,Appartement ,5.5
La Chaux-de-Fonds,NE,841,82,Appartement ,3.0
La Chaux-de-Fonds,NE,610,54,Appartement ,2.0
La Chaux-de-Fonds,NE,1070,91,Appartement ,3.5
Neuchâtel,NE,1280,76,Appartement ,3.0
Vernier,GE,2985,75,Appartement ,4.0
Rheinfelden,AG,2003,94,Appartement ,3.5
Boudry,NE,1518,86,Appartement ,3.5
Winterthur,ZH,1611,82,Appartement ,3.5
Gossau,SG,1100,64,Appartement ,3.0
Vernier,GE,3380,103,Appartement ,4.5
Morges,VD,1000,40,Appartement ,2.0
Neuchâtel,NE,930,38,Appartement ,1.5
Zürich,ZH,1150,51,Appartement ,2.0
Dornach,SO,2190,103,Attique ,5.0
Schaffhausen,SH,1165,57,Appartement ,2.5
Tafers,FR,1960,106,Appartement ,3.5
Genthod,GE,6200,142,Maison ,5.0
Renens,VD,945,60,Appartement ,3.0
Renens,VD,1570,56,Appartement ,3.5
Saint-Sulpice,VD,2300,119,Appartement ,5.5
Lucens,VD,1140,57,Appartement ,2.5
Montreux,VD,1800,75,Appartement ,3.0
Gibloux,FR,1400,85,Appartement ,3.5
Troinex,GE,1500,50,Appartement ,3.0
La Chaux-de-Fonds,NE,745,91,Appartement ,3.0
Montanaire,VD,720,57,Appartement ,2.0
Münchenstein,BL,2825,60,Appartement meublé ,4.0
Münchenstein,BL,2125,30,Appartement meublé ,1.0
Vernier,GE,1500,34,Appartement ,2.0
Lyss,BE,1518,79,Appartement ,3.5
Tafers,FR,1550,73,Appartement ,3.5
Zürich,ZH,1710,75,Appartement ,4.0
La Praz,VD,1650,159,Appartement ,3.5
Köniz,BE,1820,89,Appartement ,3.5
Saint-Sulpice,VD,630,10,Studio ,1.0
Vernier,GE,4200,140,Appartement ,6.0
Luterbach,SO,1680,88,Appartement ,3.5
Thun,BE,1270,80,Appartement ,4.0
Münchenstein,BL,990,39,Appartement ,1.5
Neuchâtel,NE,980,55,Appartement ,2.5
Wil,SG,1380,93,Appartement ,4.5
Glarus,GL,1400,141,Appartement ,5.5
Gossau,SG,1830,110,Appartement ,4.5
Meggen,LU,2300,91,Appartement ,3.5
Nürensdorf,ZH,1931,107,Appartement ,4.5
Sirnach,TG,1660,102,Appartement ,4.5
Steinach,SG,1022,67,Appartement ,3.0
Tafers,FR,1310,75,Appartement ,3.5
Münchenstein,BL,2320,114,Appartement ,3.5
Orbe,VD,1372,80,Appartement ,3.0
Gossau,SG,1750,126,Duplex ,4.0
Lauperswil,BE,1440,95,Duplex ,4.5
Twann-Tüscherz,BE,1170,63,Appartement ,2.0
Lucens,VD,1242,55,Appartement ,2.0
Le Grand-Saconnex,GE,1680,59,Appartement ,3.0
Meggen,LU,1271,38,Appartement ,1.0
Montreux,VD,1750,96,Appartement ,4.5
Obfelden,ZH,1618,71,Appartement ,3.0
Wohlen,AG,1340,58,Appartement ,2.5
Thayngen,SH,1730,110,Appartement ,4.5
Lyss,BE,1250,61,Appartement ,2.5
Bremgarten,AG,1910,106,Appartement ,4.5
Bellinzona,TI,1200,90,Appartement ,3.5
Saint-Sulpice,VD,3100,118,Appartement ,4.0
Münchenstein,BL,1301,70,Appartement ,3.0
Tafers,FR,1376,71,Appartement ,2.5
Le Grand-Saconnex,GE,2100,70,Appartement ,3.0
Chêne-Bourg,GE,1660,45,Appartement ,3.0
Prangins,VD,4300,132,Appartement ,5.5
Le Locle,NE,488,33,Appartement ,1.5
Tannay,VD,8500,310,Appartement ,8.0
Féchy,VD,6800,288,Appartement ,6.5
Gossau,SG,1870,160,Duplex ,3.5
Sion,VS,1200,89,Appartement ,3.5
Embrach,ZH,2100,144,Appartement ,4.5
Frauenkappelen,BE,1600,78,Appartement ,3.5
Arni,AG,2330,160,Appartement ,5.5
Pregny-Chambésy,GE,9500,233,Duplex ,8.5
Solothurn,SO,1408,84,Appartement ,3.0
Tafers,FR,1448,93,Appartement ,3.0
Suhr,AG,1595,70,Appartement ,2.5
La Chaux-de-Fonds,NE,540,38,Appartement ,1.0
Neuchâtel,NE,990,58,Appartement ,2.5
Rheinfelden,AG,1810,92,Appartement ,3.5
Pfeffingen,BL,1655,76,Appartement ,3.0
La Chaux-de-Fonds,NE,440,24,Appartement ,1.0
Meggen,LU,1451,72,Appartement ,3.5
La Chaux-de-Fonds,NE,1100,140,Appartement ,4.5
Münchenstein,BL,1210,58,Appartement ,2.0
Saint-Sulpice,VD,900,26,Studio ,1.0
Veytaux,VD,1010,32,Appartement ,1.5
Ettingen,BL,1390,71,Appartement ,3.5
Liestal,BL,1840,98,Appartement ,3.5
Köniz,BE,2286,139,Loft,
Sion,VS,890,46,Appartement ,2.5
Münchenstein,BL,950,41,Appartement ,2.0
Onex,GE,1700,58,Appartement ,3.0
Sion,VS,1950,107,Appartement ,3.5
Yvonand,VD,1850,114,Duplex ,3.5
Veyrier,GE,2900,120,Villa,
Twann-Tüscherz,BE,958,61,Appartement ,2.5
Gossau,SG,1380,109,Appartement ,4.5
Sant'Antonino,TI,1180,90,Appartement ,4.0
Zuchwil,SO,900,55,Appartement ,3.0
La Chaux-de-Fonds,NE,770,62,Appartement ,3.0
Weggis,LU,860,28,Appartement meublé ,1.0
Schaffhausen,SH,1830,95,Appartement ,1.5
Obfelden,ZH,1750,96,Appartement ,4.5
Therwil,BL,1270,79,Appartement ,4.5
Port,BE,1018,67,Appartement ,3.0
Gossau,SG,960,68,Appartement ,3.0
Langenthal,BE,1271,81,Appartement ,3.5
Haute-Sorne,JU,1030,95,Appartement ,4.5
Rüfenach,AG,1260,82,Appartement ,3.5
La Chaux-de-Fonds,NE,915,79,Appartement ,3.0
Develier,JU,890,79,Appartement ,3.0
Blonay - Saint-Légier,VD,1500,83,Appartement ,3.5
Neuchâtel,NE,2115,128,Appartement ,4.0
Tévenon,VD,1460,83,Appartement ,3.5
Saint-Sulpice,VD,1250,48,Appartement ,2.5
Neuchâtel,NE,1230,66,Appartement ,3.0
Saignelégier,JU,1419,103,Appartement ,4.0
Waldenburg,BL,1380,103,Appartement ,3.5
Montreux,VD,3750,94,Appartement meublé ,3.5
Saint-Sulpice,VD,1430,48,Appartement ,2.0
La Chaux-de-Fonds,NE,1130,94,Appartement ,4.5
Pully,VD,972,28,Studio ,1.5
Zürich,ZH,2090,15,Appartement,
Zürich,ZH,4800,60,Appartement meublé ,2.0
Zürich,ZH,3990,40,Appartement,
Zürich,ZH,1890,17,Appartement,
Zürich,ZH,3390,50,Appartement,
Zürich,ZH,4890,46,Appartement ,2.0
Zürich,ZH,2490,22,Appartement,
Zürich,ZH,4090,42,Appartement,
Münchenstein,BL,3990,210,Dernier étage ,4.5
Twann-Tüscherz,BE,1750,116,Loft ,2.5
Zürich,ZH,1890,15,Appartement,
Zürich,ZH,4090,108,Appartement,
Zürich,ZH,3401,102,Duplex ,3.0
Massongex,VS,1230,95,Appartement ,3.5
Zürich,ZH,1770,59,Appartement ,3.0
Vernier,GE,8500,210,Attique ,7.0
Thunstetten,BE,1120,74,Appartement ,3.5
Oensingen,SO,1390,78,Duplex ,3.5
Develier,JU,675,22,Appartement meublé ,1.0
La Chaux-de-Fonds,NE,1050,99,Appartement ,4.0
Jegenstorf,BE,1430,83,Appartement ,3.5
Pfäffikon,ZH,2100,109,Appartement ,4.5
Ebikon,LU,1430,85,Appartement ,4.0
Semsales,FR,1102,80,Appartement ,3.5
Moudon,VD,1180,59,Appartement ,3.0
Frauenkappelen,BE,1350,77,Appartement ,4.0
Zäziwil,BE,1700,106,Appartement ,4.5
Pratteln,BL,2225,94,Appartement ,3.5
Vernier,GE,2300,70,Appartement ,3.0
Waldkirch,SG,1590,101,Appartement ,3.5
