ville,canton,prix_metre_carre_moyen
Aarburg,AG,6699.134199134199
Aclens,VD,8559.539052496799
Acquarossa,TI,4433.638443935927
Adligenswil,LU,0.0
Aesch,ZH,0.0
Aeschi,SO,0.0
Aeschi bei Spiez,BE,0.0
Agno,TI,0.0
Aire-la-Ville,GE,9385.931916494264
Airolo,TI,1830.357142857143
Albinen,VS,0.0
Albula/Alvra,GR,4090.3614457831327
Allaman,VD,0.0
Alle,JU,4592.592592592592
Alpnach,OW,0.0
Altikon,ZH,4972.6775956284155
Alto Malcantone,TI,4447.115384615385
Altstätten,SG,4348.943985307622
Amlikon-Bissegg,TG,0.0
Amriswil,TG,7283.673469387755
Andelfingen,ZH,0.0
Andermatt,UR,0.0
Anières,GE,17719.621858427483
Anniviers,VS,9049.320868847952
Arbaz,VS,5970.3319990581585
Arbedo-Castione,TI,5670.620437956204
Arbon,TG,0.0
Ardon,VS,4879.86718937515
Arnex-sur-Nyon,VD,10077.160493827161
Arnex-sur-Orbe,VD,0.0
Arni,AG,0.0
Arogno,TI,4824.355971896955
Arosa,GR,0.0
Arth,SZ,5923.718712753278
Arzier-Le Muids,VD,9049.481245011972
Assens,VD,6887.871853546911
Astano,TI,0.0
Attalens,FR,7465.1924651924655
Aubonne,VD,0.0
Ausserberg,VS,0.0
Autigny,FR,6111.111111111111
Auw,AG,0.0
Avegno Gordevio,TI,0.0
Avenches,VD,6955.453965553902
Avry,FR,7343.75
Ayent,VS,5444.465662871832
Baden,AG,8295.71106094808
Ballaigues,VD,6106.598984771574
Ballens,VD,8076.923076923077
Balm bei Günsberg,SO,0.0
Balsthal,SO,3872.377622377622
Bannwil,BE,0.0
Bas-Intyamon,FR,6824.786324786325
Basadingen-Schlattingen,TG,5896.103896103896
Basse-Allaine,JU,2841.435185185185
Bassersdorf,ZH,9429.82456140351
Bassins,VD,8348.861283643892
Baulmes,VD,4393.764434180139
Bauma,ZH,0.0
Bavois,VD,7020.823473734027
Bedano,TI,0.0
Bedigliora,TI,0.0
Begnins,VD,11896.108663729809
Beinwil am See,AG,0.0
Belfaux,FR,6652.059134107709
Bellevue,GE,13129.796839729119
Bellikon,AG,9744.979919678715
Bellinzona,TI,5415.714026492469
Belmont-Broye,FR,5389.538733171486
Belmont-sur-Yverdon,VD,0.0
Berg,TG,5401.002506265664
Bergdietikon,AG,0.0
Bergün Filisur,GR,6361.5560640732265
Berikon,AG,0.0
Berneck,SG,0.0
Bernex,GE,10268.091645711092
Bettens,VD,7857.142857142857
Beurnevésin,JU,0.0
Bex,VD,5863.756075607561
Biasca,TI,4945.748987854251
Biberist,SO,0.0
Biberstein,AG,0.0
Bichelsee-Balterswil,TG,0.0
Biel-Benken,BL,0.0
Biglen,BE,0.0
Billens-Hennens,FR,5566.202090592335
Bioggio,TI,7325.949367088608
Bioley-Magnoux,VD,6630.541871921182
Birmenstorf,AG,9825.581395348838
Birr,AG,7110.091743119266
Birrhard,AG,0.0
Bissone,TI,8540.0
Bitsch,VS,0.0
Bière,VD,6527.2614622057
Blatten,VS,0.0
Blauen,BL,0.0
Blenio,TI,2096.943805455143
Blonay - Saint-Légier,VD,10746.003961490625
Bodio,TI,3729.582577132486
Bogis-Bossey,VD,10010.723860589813
Bois-d'Amont,FR,7427.184466019417
Boltigen,BE,0.0
Boncourt,JU,2079.6637744034706
