ville,canton,prix_metre_carre_moyen
Aadorf,TG,15.049751243781095
Aarau,AG,0.0
Aarburg,AG,16.86343012704174
Aefligen,BE,0.0
Aire-la-Ville,GE,0.0
Allaman,VD,0.0
Alle,JU,13.584905660377359
Allschwil,BL,20.031350482315112
Alpnach,OW,16.768558951965066
Altnau,TG,0.0
Alto Malcantone,TI,0.0
Altstätten,SG,14.224137931034482
Amden,SG,0.0
Amriswil,TG,15.024630541871922
Andelfingen,ZH,0.0
Anières,GE,28.627671541057367
Arbedo-Castione,TI,15.189035916824196
Arbon,TG,13.781204111600587
Arch,BE,0.0
Ardon,VS,17.666666666666668
Arnex-sur-Orbe,VD,0.0
Arni,AG,0.0
Arogno,TI,0.0
Arth,SZ,0.0
Arzier-Le Muids,VD,29.00214592274678
Assens,VD,0.0
Attalens,FR,15.755939524838013
Aubonne,VD,0.0
Auw,AG,0.0
Avenches,VD,16.518177163338454
Avry,FR,17.726708074534162
Ayent,VS,0.0
Bachenbülach,ZH,0.0
Bad Ragaz,SG,0.0
Baden,AG,30.21263157894737
Ballaigues,VD,0.0
Bannwil,BE,0.0
Bas-Intyamon,FR,0.0
Basse-Allaine,JU,0.0
Bassersdorf,ZH,0.0
Bassins,VD,0.0
Baulmes,VD,23.26086956521739
Bavois,VD,0.0
Begnins,VD,22.843450479233226
Beinwil am See,AG,0.0
Belfaux,FR,14.149519890260631
Bellevue,GE,41.112262521588946
Bellinzona,TI,16.213910230489283
Belmont-Broye,FR,17.72182254196643
Belp,BE,0.0
Benken,SG,0.0
Berg,TG,15.325443786982248
Bergün Filisur,GR,0.0
Berikon,AG,0.0
Berlingen,TG,0.0
Berneck,SG,0.0
Bernex,GE,29.56745623069001
Bettlach,SO,0.0
Bex,VD,17.970099667774086
Biasca,TI,11.009174311926605
Biberist,SO,14.674556213017752
Bioggio,TI,0.0
Birmensdorf,ZH,0.0
Birmenstorf,AG,0.0
Birr,AG,0.0
Bière,VD,15.570934256055363
Blauen,BL,0.0
Blonay - Saint-Légier,VD,24.345607808340727
Bogis-Bossey,VD,0.0
Bois-d'Amont,FR,0.0
Bonfol,JU,0.0
Boniswil,AG,0.0
Borex,VD,0.0
Bossonnens,FR,18.667186282151206
Boswil,AG,0.0
Bottens,VD,0.0
Bottmingen,BL,21.473509933774835
Boudry,NE,16.746174617461747
Bougy-Villars,VD,0.0
Bourg-en-Lavaux,VD,34.65692784417884
Breitenbach,SO,0.0
Bremgarten,AG,0.0
Bremgarten bei Bern,BE,0.0
Bretzwil,BL,0.0
Brig-Glis,VS,0.0
Brittnau,AG,0.0
Brugg,AG,0.0
Brügg,BE,0.0
Brüttelen,BE,0.0
Brütten,ZH,0.0
Buchegg,SO,0.0
Buchillon,VD,28.697674418604652
Buchs,AG,16.871046228710462
Burg im Leimental,BL,0.0
Bussigny,VD,25.605251446372943
Bäretswil,ZH,0.0
Bätterkinden,BE,0.0
Böztal,AG,0.0
Büsserach,SO,19.556962025316455
Bütschwil-Ganterschwil,SG,15.132489451476793
Büttikon,AG,0.0
Caslano,TI,20.60904255319149
Chamblon,VD,0.0
Chamoson,VS,15.974710221285564
Champagne,VD,0.0
Champéry,VS,0.0
Chancy,GE,0.0
Chardonne,VD,23.59016393442623
Chavannes-de-Bogis,VD,0.0
Chavannes-des-Bois,VD,31.242873432155076
Chavannes-près-Renens,VD,24.871522094926352
Chavornay,VD,23.59447004608295
Chessel,VD,25.424836601307188
Chevilly,VD,21.21212121212121
Chevroux,VD,0.0
Cheyres-Châbles,FR,19.988179669030732
Chiasso,TI,14.892058596761759
Choulex,GE,0.0
Churwalden,GR,19.791304347826088
Château-d'Oex,VD,0.0
Châtel-Saint-Denis,FR,0.0
Châtel-sur-Montsalvens,FR,0.0
Châtillon,JU,0.0
Châtonnaye,FR,0.0
Chénens,FR,0.0
Chêne-Bougeries,GE,40.100781053162
Chêne-Bourg,GE,29.84804753820034
Clarmont,VD,0.0
Clos du Doubs,JU,0.0
Collex-Bossy,GE,35.714285714285715
Collombey-Muraz,VS,18.487654320987655
Collonge-Bellerive,GE,44.75849731663685
Collonges,VS,0.0
Cologny,GE,58.66827077317934
Commugny,VD,36.590852904820764
Confignon,GE,0.0
Conthey,VS,17.04274193548387
Coppet,VD,31.50798934753662
Corcelles-le-Jorat,VD,0.0
Corcelles-près-Payerne,VD,0.0
Corminboeuf,FR,19.28348909657321
Cornol,JU,0.0
Corseaux,VD,26.023054755043226
Corsier,GE,33.604807692307695
Cortaillod,NE,18.62042875157629
Cossonay,VD,23.113502935420744
Cottens,FR,15.03903903903904
Courchapoix,JU,0.0
Courchavon,JU,0.0
Courgenay,JU,12.877507919746568
Courroux,JU,12.918781725888325
Courtedoux,JU,0.0
Courtelary,BE,0.0
Courtepin,FR,16.519302615193027
Crans,VD,28.04957904583723
Crans-Montana,VS,29.717642772565807
Crassier,VD,0.0
Cressier,NE,0.0
Céligny,GE,0.0
Dagmersellen,LU,0.0
Daillens,VD,14.283667621776504
Damphreux-Lugnez,JU,0.0
Dardagny,GE,0.0
Davos,GR,0.0
Delémont,JU,0.0
Denges,VD,0.0
Develier,JU,13.912871524448706
Diegten,BL,0.0
Dielsdorf,ZH,0.0
Diepoldsau,SG,0.0
Diessenhofen,TG,0.0
Dornach,SO,17.841352405721718
Dotzigen,BE,16.26304801670146
Drei Höfe,SO,0.0
Duillier,VD,0.0
Dully,VD,0.0
Dänikon,ZH,0.0
Démoret,VD,0.0
Döttingen,AG,38.66467065868263
Düdingen,FR,16.300595238095237
Ebikon,LU,21.185185185185187
Echallens,VD,20.25039745627981
Echandens,VD,23.732718894009217
Echichens,VD,17.678571428571427
Ecublens,VD,28.447916666666668
Egg,ZH,0.0
Einsiedeln,SZ,0.0
Elsau,ZH,0.0
Embrach,ZH,0.0
Ennetbaden,AG,0.0
Epalinges,VD,28.493877551020407
Eptingen,BL,0.0
Erlinsbach,AG,0.0
Ermatingen,TG,0.0
Eschenbach,SG,17.637614678899084
Escholzmatt-Marbach,LU,12.701575532900835
Essertines-sur-Yverdon,VD,0.0
Estavayer,FR,16.969292389853138
Etagnières,VD,0.0
Etoy,VD,0.0
