ville,canton,prix_metre_carre_moyen_louer,prix_metre_carre_moyen_acheter,ROI,color
Aarburg,AG,16.8634,6699.1342,3.0207,#fff400
Alle,JU,13.5849,4592.5926,3.5496,#fff400
Altstätten,SG,14.2241,4348.944,3.9249,#fff400
Amriswil,TG,15.0246,7283.6735,2.4753,#ffa700
Anières,GE,28.6277,17719.6219,1.9387,#ff0000
Arbedo-Castione,TI,15.189,5670.6204,3.2143,#fff400
Ardon,VS,17.6667,4879.8672,4.3444,#99ff00
Arzier-Le Muids,VD,29.0021,9049.4812,3.8458,#fff400
Attalens,FR,15.7559,7465.1925,2.5327,#ffa700
Avenches,VD,16.5182,6955.454,2.8498,#ffa700
Avry,FR,17.7267,7343.75,2.8966,#ffa700
Baden,AG,30.2126,8295.7111,4.3703,#99ff00
Baulmes,VD,23.2609,4393.7644,6.3529,#17c1ff
Begnins,VD,22.8435,11896.1087,2.3043,#ffa700
Belfaux,FR,14.1495,6652.0591,2.5525,#ffa700
Bellevue,GE,41.1123,13129.7968,3.7575,#fff400
Bellinzona,TI,16.2139,5415.714,3.5926,#fff400
Belmont-Broye,FR,17.7218,5389.5387,3.9458,#fff400
Berg,TG,15.3254,5401.0025,3.405,#fff400
Bernex,GE,29.5675,10268.0916,3.4555,#fff400
Bex,VD,17.9701,5863.7561,3.6775,#fff400
Biasca,TI,11.0092,4945.749,2.6712,#ffa700
Bière,VD,15.5709,6527.2615,2.8626,#ffa700
Blonay - Saint-Légier,VD,24.3456,10746.004,2.7187,#ffa700
Bossonnens,FR,18.6672,7084.5921,3.1619,#fff400
Bottmingen,BL,21.4735,11642.9752,2.2132,#ffa700
Boudry,NE,16.7462,7083.3333,2.837,#ffa700
Bourg-en-Lavaux,VD,34.6569,13948.7675,2.9815,#ffa700
Bussigny,VD,25.6053,9621.1413,3.1936,#fff400
Caslano,TI,20.609,7584.0769,3.2609,#fff400
Chamoson,VS,15.9747,5412.5317,3.5417,#fff400
Chardonne,VD,23.5902,15324.6728,1.8472,#ff0000
Chavannes-des-Bois,VD,31.2429,10615.3846,3.5318,#fff400
Chavornay,VD,23.5945,8039.6127,3.5217,#fff400
Chevilly,VD,21.2121,7963.1696,3.1965,#fff400
Cheyres-Châbles,FR,19.9882,8693.1818,2.7592,#ffa700
Chiasso,TI,14.8921,3805.5062,4.696,#99ff00
Churwalden,GR,19.7913,10624.5757,2.2353,#ffa700
Chêne-Bougeries,GE,40.1008,18296.7288,2.63,#ffa700
Chêne-Bourg,GE,29.848,12917.0171,2.7729,#ffa700
Collex-Bossy,GE,35.7143,9620.887,4.4546,#99ff00
Collombey-Muraz,VS,18.4877,5611.1209,3.9538,#fff400
Collonge-Bellerive,GE,44.7585,18756.4397,2.8636,#ffa700
Cologny,GE,58.6683,24202.6957,2.9088,#ffa700
Commugny,VD,36.5909,15505.6818,2.8318,#ffa700
Conthey,VS,17.0427,5558.9035,3.679,#fff400
Coppet,VD,31.508,13564.5712,2.7874,#ffa700
Corminboeuf,FR,19.2835,7897.01,2.9302,#ffa700
Corseaux,VD,26.0231,13717.9487,2.2764,#ffa700
Corsier,GE,33.6048,17777.5012,2.2684,#ffa700
Cortaillod,NE,18.6204,8645.4653,2.5845,#ffa700
Cossonay,VD,23.1135,8183.3756,3.3893,#fff400
Cottens,FR,15.039,5421.0526,3.329,#fff400
Courgenay,JU,12.8775,4072.8452,3.7942,#fff400
Courroux,JU,12.9188,3125.731,4.9597,#99ff00
Courtepin,FR,16.5193,5144.6715,3.8531,#fff400
Crans,VD,28.0496,15856.3702,2.1228,#ffa700
Crans-Montana,VS,29.7176,11349.0591,3.1422,#fff400
Develier,JU,13.9129,4132.9787,4.0396,#99ff00
Döttingen,AG,38.6647,9057.0248,5.1228,#2cba00
Düdingen,FR,16.3006,7080.6452,2.7626,#ffa700
Echallens,VD,20.2504,6806.7051,3.5701,#fff400
Echandens,VD,23.7327,12152.6773,2.3435,#ffa700
Echichens,VD,17.6786,9792.6448,2.1663,#ffa700
Ecublens,VD,28.4479,8292.9913,4.1164,#99ff00
Epalinges,VD,28.4939,12081.9998,2.83,#ffa700
Eschenbach,SG,17.6376,5305.0672,3.9896,#fff400
Estavayer,FR,16.9693,6521.7762,3.1223,#fff400
Ettingen,BL,18.1699,9484.4633,2.2989,#ffa700
Forel (Lavaux),VD,20.3279,7410.792,3.2916,#fff400
Frauenkappelen,BE,22.5517,9490.4077,2.8515,#ffa700
Fully,VS,17.0323,5680.9907,3.5978,#fff400
Féchy,VD,26.2007,11874.0902,2.6479,#ffa700
Füllinsdorf,BL,16.1685,8866.5254,2.1882,#ffa700
Gambarogno,TI,14.3056,7005.407,2.4505,#ffa700
Genthod,GE,33.5927,10924.4884,3.69,#fff400
Genève,GE,37.2615,14692.1075,3.0434,#fff400
Gibloux,FR,16.2543,5946.6353,3.28,#fff400
Gilly,VD,24.1416,9518.2258,3.0436,#fff400
Givrins,VD,28.164,11192.7006,3.0195,#fff400
Gland,VD,27.6695,9956.6029,3.3348,#fff400
Grandson,VD,23.3099,9967.3008,2.8064,#ffa700
Granges-Paccot,FR,18.9619,6887.3403,3.3038,#fff400
Grenchen,SO,15.0957,6273.5849,2.8875,#ffa700
Grimisuat,VS,16.1438,5983.4778,3.2377,#fff400
Gurmels,FR,18.0576,5804.2328,3.7333,#fff400
Haute-Sorne,JU,10.9322,4362.3705,3.0072,#fff400
Hautemorges,VD,19.3276,9281.6588,2.4988,#ffa700
Hergiswil,NW,22.737,13868.8525,1.9673,#ff0000
Hölstein,BL,14.0217,6130.1115,2.7448,#ffa700
Jongny,VD,22.0864,10807.7611,2.4523,#ffa700
La Baroche,JU,8.6667,2670.2786,3.8947,#fff400
La Chaux-de-Fonds,NE,12.4429,3964.4571,3.7663,#fff400
La Grande Béroche,NE,19.2385,7811.8895,2.9553,#ffa700
La Rippe,VD,19.3957,8825.8471,2.6371,#ffa700
La Sarraz,VD,25.1394,5666.944,5.3234,#2cba00
La Tour-de-Peilz,VD,25.0904,12242.7127,2.4593,#ffa700
La Tène,NE,15.4292,7748.3871,2.3895,#ffa700
Lancy,GE,28.6002,11948.168,2.8724,#ffa700
Langenthal,BE,13.3491,4000.0,4.0047,#99ff00
Laufenburg,AG,16.0584,6548.7078,2.9426,#ffa700
Lauperswil,BE,16.2164,9662.3134,2.014,#ffa700
Lausanne,VD,24.9039,8544.0649,3.4977,#fff400
Lavigny,VD,26.1628,7757.5039,4.0471,#99ff00
Le Chenit,VD,17.6812,4746.5407,4.4701,#99ff00
Le Grand-Saconnex,GE,34.442,13077.5764,3.1604,#fff400
Le Locle,NE,10.2401,2925.6856,4.2001,#99ff00
Le Mont-sur-Lausanne,VD,26.1989,8122.906,3.8704,#fff400
Le Pâquier (FR),FR,19.8921,6917.5493,3.4507,#fff400
Les Montets,FR,20.9091,6187.8981,4.0548,#99ff00
Leysin,VD,18.2879,6172.6046,3.5553,#fff400
Leytron,VS,17.3938,5896.8855,3.5396,#fff400
Liestal,BL,18.0159,8532.6797,2.5337,#ffa700
Lucens,VD,18.2108,6290.1414,3.4742,#fff400
Lugano,TI,28.1581,5996.1157,5.6353,#2cba00
Lutry,VD,25.7831,13312.5549,2.3241,#ffa700
Luzern,LU,19.9132,8068.8448,2.9615,#ffa700
Marly,FR,19.041,6990.9535,3.2684,#fff400
Massagno,TI,24.8254,12377.9781,2.4067,#ffa700
Massongex,VS,17.1911,5469.6187,3.7716,#fff400
Matran,FR,19.8912,7871.5211,3.0324,#fff400
Meggen,LU,34.3257,16670.9091,2.4708,#ffa700
Meinier,GE,27.4286,12722.0271,2.5872,#ffa700
Mendrisio,TI,17.8239,5035.4341,4.2476,#99ff00
Meyrin,GE,30.6187,11129.5082,3.3014,#fff400
Mies,VD,34.159,23372.582,1.7538,#ff0000
Milvignes,NE,17.2299,8251.9562,2.5056,#ffa700
Mont-sur-Rolle,VD,28.5024,11824.2137,2.8926,#ffa700
Montanaire,VD,18.0619,7333.1271,2.9557,#ffa700
Montreux,VD,24.5879,13333.2191,2.2129,#ffa700
Morges,VD,27.2682,11094.0043,2.9495,#ffa700
Moudon,VD,17.8837,5308.6311,4.0426,#99ff00
Muralto,TI,18.2481,10130.6087,2.1615,#ffa700
Muri bei Bern,BE,20.1571,15186.9159,1.5927,#ff0000
Muttenz,BL,20.0524,9960.8541,2.4157,#ffa700
Münchenbuchsee,BE,20.4555,6808.5106,3.6053,#fff400
Münchenstein,BL,29.3742,8745.7912,4.0304,#99ff00
Neuchâtel,NE,18.3662,7432.757,2.9652,#ffa700
Neyruz,FR,16.8537,6125.9542,3.3014,#fff400
Noble-Contrée,VS,15.5919,5151.2835,3.6322,#fff400
Obfelden,ZH,23.0192,8640.3996,3.197,#fff400
Ollon,VD,20.4447,9786.9007,2.5068,#ffa700
Onex,GE,28.5077,13691.7702,2.4985,#ffa700
Orbe,VD,18.2624,7487.8049,2.9267,#ffa700
Ormalingen,BL,16.9643,7557.2519,2.6937,#ffa700
Ormont-Dessus,VD,20.9906,7563.5104,3.3303,#fff400
Oron,VD,20.0215,6525.3277,3.6819,#fff400
Paradiso,TI,55.8206,10269.1847,6.5229,#17c1ff
Payerne,VD,16.6222,5647.138,3.5322,#fff400
Pfeffingen,BL,19.1884,7559.727,3.0459,#fff400
Pfäffikon,ZH,21.3915,9168.4743,2.7998,#ffa700
Plaffeien,FR,14.6444,5244.1077,3.3511,#fff400
Plan-les-Ouates,GE,30.7175,12431.7641,2.9651,#ffa700
Porrentruy,JU,11.5086,3863.7311,3.5744,#fff400
Port-Valais,VS,16.4764,5919.9288,3.3398,#fff400
Prangins,VD,32.2957,13903.2375,2.7875,#ffa700
Pratteln,BL,17.5329,7589.9209,2.772,#ffa700
Pregny-Chambésy,GE,35.9359,16880.3419,2.5546,#ffa700
Pully,VD,28.0654,14575.6629,2.3106,#ffa700
Rapperswil-Jona,SG,18.5,9345.9119,2.3754,#ffa700
Remaufens,FR,20.1967,6757.9228,3.5863,#fff400
Renens,VD,24.2576,11679.1322,2.4924,#ffa700
Rheinfelden,AG,17.1324,9165.9836,2.243,#ffa700
Riddes,VS,22.6335,6662.6342,4.0765,#99ff00
Rolle,VD,21.5979,15485.5134,1.6737,#ff0000
Romanel-sur-Lausanne,VD,25.5556,8559.0129,3.583,#fff400
Saicourt,BE,9.9532,3594.9644,3.3224,#fff400
Saignelégier,JU,12.4876,5348.6486,2.8017,#ffa700
Saint-Blaise,NE,16.833,7239.2638,2.7903,#ffa700
Saint-Cergue,VD,21.5391,8035.8573,3.2164,#fff400
Saint-Gingolph,VS,27.7583,9181.2768,3.628,#fff400
Saint-Imier,BE,11.1885,3461.6896,3.8785,#fff400
Saint-Maurice,VS,13.8462,4450.0693,3.7337,#fff400
Saint-Prex,VD,27.3904,12552.3156,2.6185,#ffa700
Saint-Sulpice,VD,29.4391,12346.0959,2.8614,#ffa700
Sainte-Croix,VD,14.5081,4387.3031,3.9682,#fff400
Sant'Antonino,TI,14.7865,5898.5959,3.0081,#fff400
Satigny,GE,26.2712,9447.3043,3.337,#fff400
Savigny,VD,27.8165,11190.901,2.9828,#ffa700
Saxon,VS,19.5867,4646.0918,5.0589,#2cba00
Schaffhausen,SH,19.2289,8741.8066,2.6396,#ffa700
Semsales,FR,18.3841,6614.8625,3.3351,#fff400
Sierre,VS,17.6064,5532.3025,3.819,#fff400
Sion,VS,17.769,6153.9789,3.4649,#fff400
Siviriez,FR,17.4631,6171.9081,3.3953,#fff400
Sonvilier,BE,10.5075,4489.2966,2.8087,#ffa700
Spiez,BE,18.7935,5930.9577,3.8025,#fff400
St. Margrethen,SG,14.9275,6198.2609,2.89,#ffa700
Steffisburg,BE,19.1104,6650.2463,3.4484,#fff400
Stäfa,ZH,20.5851,12761.7952,1.9356,#ff0000
Sulgen,TG,11.283,8398.1693,1.6122,#ff0000
Tafers,FR,18.0398,7363.9597,2.9397,#ffa700
Tannay,VD,36.7358,14404.5361,3.0603,#fff400
Tavannes,BE,13.757,4077.5194,4.0486,#99ff00
Termen,VS,15.1408,5719.5226,3.1767,#fff400
Thal,SG,17.2766,6935.1536,2.9894,#ffa700
Therwil,BL,21.1226,7761.1012,3.2659,#fff400
Thunstetten,BE,13.8235,4800.0,3.4559,#fff400
Thônex,GE,28.5088,12212.4188,2.8013,#ffa700
Toffen,BE,19.0822,5864.745,3.9044,#fff400
Tolochenaz,VD,22.9599,9221.7742,2.9877,#ffa700
Torricella-Taverne,TI,13.0075,5749.6513,2.7148,#ffa700
Twann-Tüscherz,BE,16.4753,4434.178,4.4586,#99ff00
Tägerwilen,TG,20.436,6485.9632,3.781,#fff400
Urdorf,ZH,22.838,9733.6562,2.8155,#ffa700
Ursy,FR,15.5908,6139.0887,3.0475,#fff400
Uster,ZH,21.0359,9736.0704,2.5927,#ffa700
Uzwil,SG,13.6288,6495.1076,2.518,#ffa700
Val Mara,TI,22.6076,6401.0466,4.2382,#99ff00
Val-d'Illiez,VS,21.8289,7144.6638,3.6663,#fff400
Val-de-Charmey,FR,14.4328,6914.8352,2.5047,#ffa700
Val-de-Ruz,NE,13.9927,5232.5169,3.209,#fff400
Val-de-Travers,NE,15.7062,3794.068,4.9676,#99ff00
Valbroye,VD,17.5967,6932.0688,3.0461,#fff400
Vallorbe,VD,14.5166,4976.4622,3.5005,#fff400
Vandoeuvres,GE,52.1447,20108.4688,3.1118,#fff400
Vernayaz,VS,17.4351,5083.993,4.1153,#99ff00
Vernier,GE,39.5597,17655.9135,2.6887,#ffa700
Versoix,GE,31.6471,14986.6045,2.534,#ffa700
Vevey,VD,26.1311,10397.2195,3.0159,#fff400
Veyrier,GE,36.1078,13382.9654,3.2376,#fff400
Veytaux,VD,20.0181,8209.7289,2.926,#ffa700
Villars-sur-Glâne,FR,18.4882,8202.9011,2.7046,#ffa700
Villarsel-sur-Marly,FR,14.9791,5526.3158,3.2526,#fff400
Villaz,FR,18.2073,6191.7872,3.5287,#fff400
Villeneuve,VD,20.8829,7808.4069,3.2093,#fff400
Vionnaz,VS,13.5754,4275.9162,3.8098,#fff400
Visperterminen,VS,17.6932,4801.4706,4.4219,#99ff00
Vouvry,VS,16.0537,5848.899,3.2937,#fff400
Vully-les-Lacs,VD,18.4309,7053.7802,3.1355,#fff400
Vérossaz,VS,9.916,4985.7955,2.3866,#ffa700
Waldkirch,SG,14.3652,5680.6283,3.0346,#fff400
Wil,ZH,19.8171,7255.751,3.2775,#fff400
Winkel,ZH,21.3866,9535.2564,2.6915,#ffa700
Winterthur,ZH,25.2067,10111.4082,2.9915,#ffa700
Wohlen,AG,17.7248,7185.7614,2.96,#ffa700
Worb,BE,19.4404,5732.8671,4.0693,#99ff00
Wünnewil-Flamatt,FR,15.6474,6803.8409,2.7597,#ffa700
Würenlos,AG,19.9681,8382.0961,2.8587,#ffa700
Yverdon-les-Bains,VD,19.6991,7725.9207,3.0597,#fff400
Yvonand,VD,17.3323,6638.756,3.1329,#fff400
Zug,ZG,69.1024,19312.7962,4.2937,#99ff00
Zwingen,BL,18.4981,4972.9102,4.4637,#99ff00
Zürich,ZH,60.7069,13342.7963,5.4597,#2cba00
