web-scraper-order,web-scraper-start-url,price_text,metres_carres,ville_adresse,type_pieces
"1699260062-1","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 990.-/mois (+ 260.- Charges)","72 m2","Bellach, Grederstrasse 18","Appartement 3.5 pièces"
"1699260062-2","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'600.-/mois","30 m2","Genève, Rue de l'Athenee","Appartement meublé"
"1699260062-3","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'940.-/mois","30 m2","Paradiso, Via G.b. Dominione","Appartement meublé 1 pièce"
"1699260062-4","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","MON 3'880.-/mois (+ 3'880.- Charges)","","Zürich, Zweierstrasse","Appartement meublé 2 pièces"
"1699260062-5","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 3'185.-/mois","30 m2","Zürich, Baslerstrasse","Appartement meublé 1 pièce"
"1699260062-6","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'650.-/mois (+ 160.- Charges)","48 m2","Genève, Rue des Eaux-Vives 20","Appartement 3 pièces"
"1699260062-7","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-382?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'960.-/mois (+ 260.- Charges)","82 m2","Romanel-sur-Lausanne, Chemin des Tilleuls 2a","Appartement 3.5 pièces"
"1699260083-8","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'300.-/mois (+ 60.- Charges)","","St-Cergue, Chemin du Vieux-Château 2 (La Licorne)","Appartement 2 pièces"
"1699260083-9","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'490.-/mois (+ 290.- Charges)","150 m2","Hauterive NE, Rebattes 31","Villa 6 pièces"
"1699260083-10","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 2'054.-/mois (+ 87.- Charges)","69 m2","Crissier, Chemin des Lentillières 13 E","Appartement 3.5 pièces"
"1699260083-11","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'800.-/mois (+ 150.- Charges)","44 m2","Lausanne, Chemin des Retraites 11","Appartement 2 pièces"
"1699260083-12","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 1'903.-/mois (+ 92.- Charges)","74 m2","Crissier, Chemin des Lentillières 13 D","Appartement 3.5 pièces"
"1699260083-13","https://www.immobilier.ch/fr/carte/louer/appartement-maison/page-381?t=rent&c=1;2&p=s118;s77;s40;s37;s8;s9;s12;s16;s17;s19;s43;s44;s55;s65;s81;s107;s99;s100;s105;s110;s111;s112;s115;s125;s126;s78&nb=false","CHF 377.-/mois (+ 180.- Charges)","74 m2","Lausanne, Chemin d' Entrebois 17","Appartement 4 pièces"
